"match_id","home_team","home_score","away_score","away_team","date"
"1","Hurricanes",28,36,"Blues","1996-03-01 13:00:00"
"2","Waratahs",32,11,"Lions","1996-03-01 13:00:00"
"3","Sharks",28,22,"Stormers","1996-03-02 13:00:00"
"4","Chiefs",27,26,"Crusaders","1996-03-03 13:00:00"
"5","Highlanders",57,17,"Reds","1996-03-03 13:00:00"
"6","Brumbies",13,9,"Lions","1996-03-05 13:00:00"
"7","Stormers",22,30,"Waratahs","1996-03-09 13:00:00"
"8","Bulls",30,8,"Sharks","1996-03-09 13:00:00"
"9","Highlanders",29,15,"Lions","1996-03-09 13:00:00"
"10","Brumbies",35,28,"Hurricanes","1996-03-09 13:00:00"
"11","Crusaders",18,49,"Blues","1996-03-10 13:00:00"
"12","Reds",26,22,"Chiefs","1996-03-10 13:00:00"
"13","Brumbies",40,34,"Blues","1996-03-15 13:00:00"
"14","Hurricanes",32,16,"Lions","1996-03-15 13:00:00"
"15","Stormers",25,52,"Highlanders","1996-03-16 13:00:00"
"16","Bulls",32,29,"Waratahs","1996-03-16 13:00:00"
"17","Sharks",63,25,"Chiefs","1996-03-17 13:00:00"
"18","Reds",52,16,"Crusaders","1996-03-17 13:00:00"
"19","Bulls",59,29,"Highlanders","1996-03-20 13:00:00"
"20","Crusaders",16,16,"Stormers","1996-03-22 13:00:00"
"21","Lions",26,23,"Chiefs","1996-03-23 13:00:00"
"22","Waratahs",44,10,"Brumbies","1996-03-24 13:00:00"
"23","Hurricanes",25,32,"Reds","1996-03-24 13:00:00"
"24","Blues",48,30,"Stormers","1996-03-27 13:00:00"
"25","Brumbies",44,31,"Sharks","1996-03-29 13:00:00"
"26","Crusaders",21,16,"Waratahs","1996-03-29 13:00:00"
"27","Reds",25,18,"Bulls","1996-03-29 13:00:00"
"28","Highlanders",15,44,"Hurricanes","1996-03-30 13:00:00"
"29","Chiefs",44,17,"Stormers","1996-03-30 13:00:00"
"30","Blues",51,29,"Highlanders","1996-04-02 13:00:00"
"31","Waratahs",6,34,"Sharks","1996-04-02 13:00:00"
"32","Chiefs",26,18,"Brumbies","1996-04-03 13:00:00"
"33","Reds",36,26,"Stormers","1996-04-03 13:00:00"
"34","Crusaders",18,34,"Bulls","1996-04-03 13:00:00"
"35","Hurricanes",27,43,"Sharks","1996-04-06 13:00:00"
"36","Blues",30,26,"Bulls","1996-04-07 14:00:00"
"37","Crusaders",7,29,"Brumbies","1996-04-08 13:00:00"
"38","Highlanders",33,32,"Sharks","1996-04-10 13:00:00"
"39","Chiefs",17,9,"Bulls","1996-04-11 13:00:00"
"40","Reds",15,13,"Waratahs","1996-04-13 13:00:00"
"41","Lions",23,26,"Stormers","1996-04-13 13:00:00"
"42","Hurricanes",13,36,"Crusaders","1996-04-14 13:00:00"
"43","Highlanders",5,22,"Chiefs","1996-04-16 13:00:00"
"44","Bulls",25,15,"Lions","1996-04-19 13:00:00"
"45","Blues",39,31,"Chiefs","1996-04-20 13:00:00"
"46","Brumbies",21,20,"Reds","1996-04-20 13:00:00"
"47","Waratahs",29,25,"Highlanders","1996-04-21 13:00:00"
"48","Stormers",35,25,"Hurricanes","1996-04-23 13:00:00"
"49","Lions",55,23,"Crusaders","1996-04-23 13:00:00"
"50","Reds",51,13,"Blues","1996-04-26 13:00:00"
"51","Sharks",58,26,"Crusaders","1996-04-27 13:00:00"
"52","Bulls",38,20,"Hurricanes","1996-04-27 13:00:00"
"53","Stormers",25,16,"Brumbies","1996-04-28 13:00:00"
"54","Chiefs",39,17,"Waratahs","1996-04-28 13:00:00"
"55","Sharks",49,13,"Lions","1996-05-01 13:00:00"
"56","Blues",56,44,"Waratahs","1996-05-01 13:00:00"
"57","Chiefs",15,23,"Hurricanes","1996-05-04 13:00:00"
"58","Bulls",23,10,"Brumbies","1996-05-04 13:00:00"
"59","Sharks",20,21,"Reds","1996-05-05 13:00:00"
"60","Crusaders",27,29,"Highlanders","1996-05-05 13:00:00"
"61","Lions",34,22,"Blues","1996-05-07 13:00:00"
"62","Stormers",7,35,"Bulls","1996-05-10 13:00:00"
"63","Waratahs",52,25,"Hurricanes","1996-05-10 13:00:00"
"64","Sharks",23,30,"Blues","1996-05-11 13:00:00"
"65","Lions",16,25,"Reds","1996-05-11 13:00:00"
"66","Brumbies",70,26,"Highlanders","1996-05-12 13:00:00"
"67","Reds",25,43,"Sharks","1996-05-18 13:00:00"
"68","Blues",48,11,"Bulls","1996-05-19 13:00:00"
"69","Blues",45,21,"Sharks","1996-05-25 13:00:00"
"70","Hurricanes",18,23,"Chiefs","1997-02-28 13:00:00"
"71","Bulls",40,40,"Blues","1997-03-01 13:00:00"
"72","Reds",19,24,"Brumbies","1997-03-01 13:00:00"
"73","Cheetahs",20,24,"Lions","1997-03-02 13:00:00"
"74","Cheetahs",15,24,"Blues","1997-03-07 13:00:00"
"75","Crusaders",19,17,"Hurricanes","1997-03-07 13:00:00"
"76","Bulls",14,3,"Reds","1997-03-08 13:00:00"
"77","Sharks",75,43,"Highlanders","1997-03-08 13:00:00"
"78","Waratahs",26,33,"Chiefs","1997-03-08 13:00:00"
"79","Lions",44,36,"Brumbies","1997-03-09 13:00:00"
"80","Lions",47,29,"Highlanders","1997-03-14 13:00:00"
"81","Waratahs",25,8,"Crusaders","1997-03-14 13:00:00"
"82","Cheetahs",35,24,"Reds","1997-03-15 13:00:00"
"83","Chiefs",16,26,"Blues","1997-03-15 13:00:00"
"84","Sharks",35,26,"Brumbies","1997-03-16 13:00:00"
"85","Hurricanes",64,32,"Bulls","1997-03-16 13:00:00"
"86","Lions",36,27,"Waratahs","1997-03-22 13:00:00"
"87","Cheetahs",45,40,"Sharks","1997-03-22 13:00:00"
"88","Brumbies",49,29,"Crusaders","1997-03-22 13:00:00"
"89","Chiefs",31,16,"Reds","1997-03-22 13:00:00"
"90","Highlanders",27,7,"Bulls","1997-03-22 13:00:00"
"91","Lions",35,37,"Hurricanes","1997-03-28 13:00:00"
"92","Brumbies",38,19,"Bulls","1997-03-28 13:00:00"
"93","Sharks",28,23,"Waratahs","1997-03-29 13:00:00"
"94","Crusaders",24,15,"Chiefs","1997-03-29 13:00:00"
"95","Highlanders",18,49,"Cheetahs","1997-03-30 13:00:00"
"96","Blues",49,26,"Reds","1997-03-31 13:00:00"
"97","Sharks",29,24,"Hurricanes","1997-04-04 13:00:00"
"98","Brumbies",50,23,"Cheetahs","1997-04-04 13:00:00"
"99","Blues",29,28,"Crusaders","1997-04-04 13:00:00"
"100","Reds",37,24,"Highlanders","1997-04-05 13:00:00"
"101","Waratahs",43,29,"Bulls","1997-04-06 14:00:00"
"102","Chiefs",15,33,"Sharks","1997-04-11 13:00:00"
"103","Lions",16,16,"Bulls","1997-04-12 13:00:00"
"104","Reds",29,47,"Hurricanes","1997-04-12 13:00:00"
"105","Waratahs",36,11,"Cheetahs","1997-04-12 13:00:00"
"106","Highlanders",37,29,"Crusaders","1997-04-12 13:00:00"
"107","Blues",41,29,"Brumbies","1997-04-12 13:00:00"
"108","Highlanders",9,15,"Brumbies","1997-04-18 13:00:00"
"109","Bulls",34,27,"Chiefs","1997-04-19 13:00:00"
"110","Waratahs",16,26,"Reds","1997-04-19 13:00:00"
"111","Crusaders",26,26,"Sharks","1997-04-19 13:00:00"
"112","Blues",63,22,"Lions","1997-04-19 13:00:00"
"113","Hurricanes",59,30,"Cheetahs","1997-04-20 13:00:00"
"114","Crusaders",23,0,"Lions","1997-04-25 13:00:00"
"115","Cheetahs",27,13,"Chiefs","1997-04-26 13:00:00"
"116","Brumbies",56,9,"Waratahs","1997-04-26 13:00:00"
"117","Hurricanes",60,34,"Highlanders","1997-04-26 13:00:00"
"118","Blues",39,17,"Sharks","1997-04-27 13:00:00"
"119","Hurricanes",19,3,"Waratahs","1997-05-02 13:00:00"
"120","Bulls",23,22,"Crusaders","1997-05-03 13:00:00"
"121","Reds",40,3,"Sharks","1997-05-03 13:00:00"
"122","Chiefs",47,9,"Lions","1997-05-03 13:00:00"
"123","Highlanders",28,45,"Blues","1997-05-03 13:00:00"
"124","Brumbies",48,34,"Chiefs","1997-05-09 13:00:00"
"125","Highlanders",16,27,"Waratahs","1997-05-09 13:00:00"
"126","Cheetahs",11,16,"Crusaders","1997-05-10 13:00:00"
"127","Reds",40,27,"Lions","1997-05-10 13:00:00"
"128","Blues",45,42,"Hurricanes","1997-05-10 13:00:00"
"129","Sharks",27,27,"Bulls","1997-05-11 13:00:00"
"130","Bulls",23,35,"Cheetahs","1997-05-16 13:00:00"
"131","Chiefs",18,34,"Highlanders","1997-05-16 13:00:00"
"132","Lions",42,8,"Sharks","1997-05-17 13:00:00"
"133","Waratahs",20,34,"Blues","1997-05-17 13:00:00"
"134","Crusaders",48,3,"Reds","1997-05-17 13:00:00"
"135","Hurricanes",29,35,"Brumbies","1997-05-18 13:00:00"
"136","Brumbies",33,20,"Hurricanes","1997-05-24 13:00:00"
"137","Blues",55,36,"Sharks","1997-05-24 13:00:00"
"138","Blues",23,7,"Brumbies","1997-05-31 13:00:00"
"139","Highlanders",26,19,"Reds","1998-02-27 13:00:00"
"140","Stormers",31,45,"Hurricanes","1998-02-27 13:00:00"
"141","Chiefs",25,23,"Crusaders","1998-02-28 13:00:00"
"142","Sharks",24,8,"Blues","1998-02-28 13:00:00"
"143","Bulls",32,39,"Cats","1998-02-28 13:00:00"
"144","Waratahs",32,7,"Brumbies","1998-03-01 13:00:00"
"145","Crusaders",33,12,"Waratahs","1998-03-06 13:00:00"
"146","Brumbies",34,26,"Highlanders","1998-03-06 13:00:00"
"147","Bulls",19,37,"Hurricanes","1998-03-06 13:00:00"
"148","Reds",25,28,"Chiefs","1998-03-07 13:00:00"
"149","Sharks",32,17,"Stormers","1998-03-07 13:00:00"
"150","Cats",37,38,"Blues","1998-03-07 13:00:00"
"151","Chiefs",19,22,"Hurricanes","1998-03-13 13:00:00"
"152","Waratahs",25,10,"Cats","1998-03-13 13:00:00"
"153","Reds",35,9,"Crusaders","1998-03-14 13:00:00"
"154","Brumbies",23,41,"Sharks","1998-03-14 13:00:00"
"155","Stormers",35,18,"Bulls","1998-03-14 13:00:00"
"156","Blues",41,22,"Highlanders","1998-03-14 13:00:00"
"157","Highlanders",41,35,"Sharks","1998-03-20 13:00:00"
"158","Brumbies",37,3,"Cats","1998-03-21 13:00:00"
"159","Bulls",34,19,"Waratahs","1998-03-21 13:00:00"
"160","Blues",25,23,"Chiefs","1998-03-21 13:00:00"
"161","Hurricanes",33,41,"Reds","1998-03-22 13:00:00"
"162","Crusaders",24,31,"Blues","1998-03-27 13:00:00"
"163","Bulls",24,7,"Brumbies","1998-03-28 13:00:00"
"164","Stormers",35,33,"Waratahs","1998-03-28 13:00:00"
"165","Hurricanes",23,39,"Sharks","1998-03-28 13:00:00"
"166","Highlanders",57,27,"Cats","1998-03-28 13:00:00"
"167","Hurricanes",30,15,"Cats","1998-04-03 13:00:00"
"168","Stormers",34,3,"Brumbies","1998-04-03 13:00:00"
"169","Highlanders",29,11,"Chiefs","1998-04-04 13:00:00"
"170","Reds",33,18,"Blues","1998-04-04 13:00:00"
"171","Crusaders",31,20,"Bulls","1998-04-05 14:00:00"
"172","Waratahs",51,18,"Sharks","1998-04-05 14:00:00"
"173","Crusaders",38,26,"Brumbies","1998-04-11 13:00:00"
"174","Reds",19,14,"Stormers","1998-04-11 13:00:00"
"175","Sharks",30,18,"Cats","1998-04-11 13:00:00"
"176","Chiefs",37,25,"Bulls","1998-04-11 13:00:00"
"177","Blues",47,25,"Waratahs","1998-04-13 13:00:00"
"178","Blues",34,24,"Bulls","1998-04-17 13:00:00"
"179","Crusaders",37,25,"Stormers","1998-04-18 13:00:00"
"180","Reds",17,17,"Waratahs","1998-04-18 13:00:00"
"181","Cats",35,36,"Chiefs","1998-04-18 13:00:00"
"182","Highlanders",29,8,"Hurricanes","1998-04-19 13:00:00"
"183","Crusaders",40,24,"Highlanders","1998-04-24 13:00:00"
"184","Brumbies",29,32,"Hurricanes","1998-04-24 13:00:00"
"185","Reds",28,15,"Bulls","1998-04-25 13:00:00"
"186","Sharks",52,18,"Chiefs","1998-04-25 13:00:00"
"187","Blues",74,28,"Stormers","1998-04-26 13:00:00"
"188","Hurricanes",17,39,"Crusaders","1998-05-01 13:00:00"
"189","Waratahs",23,22,"Highlanders","1998-05-01 13:00:00"
"190","Brumbies",24,27,"Blues","1998-05-02 13:00:00"
"191","Bulls",12,8,"Sharks","1998-05-02 13:00:00"
"192","Chiefs",26,7,"Stormers","1998-05-02 13:00:00"
"193","Cats",16,20,"Reds","1998-05-03 13:00:00"
"194","Chiefs",35,15,"Brumbies","1998-05-08 13:00:00"
"195","Waratahs",36,32,"Hurricanes","1998-05-09 13:00:00"
"196","Cats",25,34,"Crusaders","1998-05-09 13:00:00"
"197","Stormers",15,36,"Highlanders","1998-05-09 13:00:00"
"198","Sharks",30,20,"Reds","1998-05-10 13:00:00"
"199","Chiefs",21,33,"Waratahs","1998-05-15 13:00:00"
"200","Bulls",26,31,"Highlanders","1998-05-16 13:00:00"
"201","Brumbies",23,16,"Reds","1998-05-16 13:00:00"
"202","Cats",41,7,"Stormers","1998-05-16 13:00:00"
"203","Hurricanes",34,45,"Blues","1998-05-16 13:00:00"
"204","Sharks",20,32,"Crusaders","1998-05-16 13:00:00"
"205","Blues",37,31,"Highlanders","1998-05-23 13:00:00"
"206","Crusaders",36,32,"Sharks","1998-05-24 13:00:00"
"207","Blues",13,20,"Crusaders","1998-05-30 13:00:00"
